Time,Random Uncertainty,Fuzzy Uncertainty,Cognitive Uncertainty,Time-Delay Uncertainty
0,0,0.148095207077847,0.182551027054747,0.669353765867406
0.02,0.0147688318485976,0.158975043454232,0.185058366677473,0.641197758019698
0.04,0.0298109985182518,0.170030923972885,0.187195213563725,0.612962863945138
0.06,0.0450422944210007,0.181201476091699,0.188957988735085,0.584798240752215
0.08,0.0603800194612664,0.192424048302129,0.190347986199289,0.556847946037315
0.1,0.0757446806104851,0.203635904565708,0.191371142981375,0.529248271842432
0.12,0.0910615055217262,0.214775358482165,0.192037681415514,0.502125454580594
0.14,0.106261718526192,0.225782804826176,0.192361647296198,0.475593829351434
0.16,0.121283546465649,0.23660161523093,0.192360371110687,0.449754467192734
0.18,0.136072939388958,0.247178875274101,0.192053880964852,0.42469430437209
0.2,0.150584007649891,0.257465950998756,0.191464295125436,0.400485746225918
0.22,0.164779191181039,0.267418883056564,0.190615219674002,0.377186706088395
0.24,0.178629187889164,0.276998615476795,0.189531173058256,0.354841023575784
0.26,0.192112675854513,0.286171073075972,0.188237054835922,0.333479196233593
0.28,0.205215868341058,0.29490710651792,0.186757671115015,0.313119354026007
0.3,0.217931941861958,0.303182327025023,0.185117324514077,0.293768406598942
0.32,0.230260376223104,0.310976853915018,0.183339472211583,0.275423297650296
0.34,0.242206242217287,0.318274997793794,0.181446452033856,0.258072307955063
0.36,0.253779468105799,0.325064900729605,0.179459273652612,0.241696357511984
0.38,0.264994110794638,0.331338152431246,0.17739746984818,0.226270266925936
0.4,0.27586765218669,0.337089398686864,0.175279001398948,0.211763947727498
0.42,0.286420335953469,0.342315955374295,0.173120208394696,0.198143500277541
0.44,0.296674555189137,0.347017438449449,0.17093580053088,0.185372205830535
0.46,0.306654297249058,0.351195417614445,0.168738879104923,0.173411406031574
0.48,0.316384648610971,0.354853098962368,0.166540983891076,0.162221268535585
0.5,0.325891359837084,0.357995039842678,0.164352158716694,0.151761441603544
0.52,0.335200468620626,0.360626897504441,0.162181030315452,0.141991603559481
0.54,0.34433797740104,0.362755211740523,0.160034895825349,0.132871915033088
0.56,0.353329581043168,0.364387220743545,0.157919815081783,0.124363383131504
0.58,0.362200439507663,0.365530708652491,0.155840704593906,0.11642814724594
