Time,Random Uncertainty,Fuzzy Uncertainty,Cognitive Uncertainty,Time-Delay Uncertainty
1.7,0.900633834421076,0.04736875407721,0.0479432109846185,0.00405420051709536
1.72,0.907704253264287,0.0435382335137918,0.0449477634495339,0.00380974977238764
1.74,0.914559327503407,0.039945391769385,0.0419159684666432,0.00357931226056486
1.76,0.921204612150199,0.0365833653107031,0.0388498601637061,0.00336216237539118
1.78,0.927646392730186,0.0334445941116749,0.0357514070192316,0.00315760613890767
1.8,0.933891585545583,0.030520936514088,0.0326224980455739,0.00296497989475455
1.82,0.939947638790269,0.0278037808933846,0.0294649311727985,0.00278364914354782
1.84,0.945822435943463,0.0252841527688229,0.0262804037957131,0.00261300749200109
1.86,0.951524202676673,0.0229528162236197,0.0230705054083899,0.00245247569131782
1.88,0.957061418309045,0.0208003687281998,0.0198367122187033,0.00230150074405179
1.9,0.96244273264645,0.0188173286814612,0.016580383610002,0.00215955506208645
1.92,0.967676888845149,0.01699421519539,0.0133027602978885,0.00202613566157255
1.94,0.972772652756517,0.015321619843034,0.0100049640168906,0.00190076338355805
1.96,0.97773874903871,0.0137902702655749,0.0066879985640899,0.00178298213162482
1.98,0.982583804166967,0.0123910856889762,0.00335275202394853,0.00167235812010798
2,0.987316296338186,0.0111152245333962,0,0.00156847912841752
