Level,Pixel_NoSup,Pixel_Sup,Target_NoSup,Target_Sup,Scene_NoSup,Scene_Sup
1,0.323913822706893,0.100833069290276,0.999831132843313,0.999841619202751,0.391283422492144,0.146124652900511
2,0.22838027829018,0.078524373775323,0.996453624483311,0.996325616612258,0.0596649977664063,0.0158520706185865
3,0.215086335792904,0.079517068131196,0.998195655874948,0.997958675735191,0.210281275729152,0.0575216661734433
4,0.195423333977618,0.0746914930609346,0.979738207425211,0.986988286885174,0.247932082285295,0.0702248626059739
