ErrorType,Avg_NoSup,Avg_Sup,ReductionPercent
Pixel,0.240700942691899,0.0833915010644325,65.3547260215033
Target,0.993554655156696,0.995278549608843,-0.173507762577563
Scene,0.227290444568249,0.0724308130746286,68.1329264799429
