Time_s,Reference_mm,TruePosition_mm,TrueVelocity_mm_s,Measured_mm,Error_mm
0,0,0.5,-0.3,0,-0.5
0.00100050025012506,0.50182170459265,59.4652531487661,40.7161394043796,59.4808681510214,0.0156150022553376
0.00200100050025012,1.00364339365892,115.602152788047,80.5946550418236,115.59378220106,-0.00837058698765247
0.00300150075037519,1.50546505167259,169.02386622989,119.419138489527,169.026691431924,0.0028252020337618
0.00400200100050025,2.00728666310774,219.893910188467,157.170135829616,219.923414518251,0.0295043297834354
0.00500250125062531,2.50910821243891,268.325847423434,193.904303369458,268.308082245825,-0.0177651776090215
0.00600300150075038,3.01092968414126,314.404671513834,229.644480628807,314.403718990009,-0.000952523824309992
0.00700350175087544,3.51275106269071,358.265991987798,264.419658660167,358.259449353734,-0.00654263406403288
0.0080040020010005,4.01457233256411,400.010482961025,298.243535958153,400.009446786091,-0.00103617493397223
0.00900450225112556,4.51639347823936,439.765880576049,331.142840034506,439.767348715151,0.00146813910214405
0.0100050025012506,5.01821448419562,477.600582556445,363.131114811161,477.607042960307,0.00646040386243385
0.0110055027513757,5.52003533491341,513.602231350436,394.27690853477,513.64186866308,0.0396373126437766
0.0120060030015008,6.02185601487478,547.892383017874,424.593815082288,547.889831154604,-0.00255186327035517
0.0130065032516258,6.52367650856349,580.509140651353,454.082067031905,580.505546048294,-0.00359460305958237
0.0140070035017509,7.02549680046512,611.550286421484,482.764157553001,611.536215314182,-0.0140711073017883
0.0150075037518759,7.52731687506723,641.117372573572,510.661542746105,641.127997704808,0.0106251312352015
0.016008004002001,8.02913671685957,669.24459577862,537.808673510669,669.247074656278,0.00247887765772248
0.0170085042521261,8.53095631033416,696.017700533281,564.248205134524,696.030496151852,0.0127956185709763
0.0180090045022511,9.03277563998547,721.513459843623,589.969098773366,721.519657700493,0.00619785687069907
0.0190095047523762,9.53459469031059,745.778172090962,614.942862600337,745.762852144624,-0.0153199463381952
0.0200100050025013,10.0364134458094,768.838858380787,639.246208724411,768.831649341896,-0.0072090388914603
0.0210105052526263,10.5382318909846,790.804132097661,662.916114304821,790.790492833097,-0.0136392645634942
0.0220110055027514,11.040050010342,811.708982875862,685.928605034507,811.695403861505,-0.013579014356992
0.0230115057528764,11.5418677883907,831.616386229118,708.309429026251,831.638294730405,0.0219085012874984
0.0240120060030015,12.0436852096431,850.563968012833,730.076762996497,850.57682813625,0.0128601234162034
0.0250125062531266,12.5455022586151,868.59830679842,751.275421215343,868.562145395588,-0.0361614028323629
0.0260130065032516,13.0473189198264,885.747687611747,771.856617498759,885.774503636499,0.0268160247518381
0.0270135067533767,13.5491351778004,902.075862243389,791.902336233641,902.057537123617,-0.0183251197718164
0.0280140070035018,14.0509510170645,917.604861567384,811.397240249695,917.61735408025,0.0124925128664017
0.0290145072536268,14.5527664221502,932.3917316961,830.388569538212,932.390541270799,-0.00119042530138813
0.0300150075037519,15.0545813775936,946.439373005567,848.858999106118,946.455725688778,0.0163526832109255
0.0310155077538769,15.5563958679348,959.828759210114,866.821268324026,959.828650349986,-0.000108860127397747
0.032016008004002,16.0582098777188,972.569178791702,884.284428724512,972.547428275772,-0.0217505159297389
0.0330165082541271,16.5600233914951,984.684301094096,901.240888921137,984.690815478345,0.00651438424904427
0.0340170085042521,17.0618363938184,996.213572702665,917.768610773866,996.224819289137,0.0112465864722253
0.0350175087543772,17.5636488692482,1007.1812971799,933.841495856661,1007.18948709626,0.00818991636060673
0.0360180090045022,18.0654608023494,1017.61099298994,949.460028238743,1017.59821385811,-0.0127791318275285
0.0370185092546273,18.567272177692,1027.53286200201,964.694304949714,1027.544505318,0.0116433159937515
0.0380190095047524,19.0690829798518,1036.98927760444,979.50717532107,1036.99931651517,0.0100389107271894
0.0390195097548774,19.5708931934101,1045.97615883425,993.927662895359,1045.97771550689,0.00155667264311887
0.0400200100050025,20.072702802954,1054.53821978086,1007.94220844316,1054.52340307541,-0.0148167054487658
0.0410205102551276,20.5745117930767,1062.67085704252,1021.54616400299,1062.6703560086,-0.000501033920727423
0.0420210105052526,21.0763201483774,1070.42307095085,1034.77968554755,1070.42361898481,0.000548033955510618
0.0430215107553777,21.5781278534616,1077.78722957736,1047.64981882238,1077.77347813241,-0.0137514449522769
0.0440220110055028,22.0799348929412,1084.79110155631,1060.19479326589,1084.78521463023,-0.00588692608403107
0.0450225112556278,22.5817412514347,1091.45664716944,1072.39316896803,1091.4538314304,-0.00281573904430843
0.0460230115057529,23.0835469135674,1097.80525039665,1084.26448557079,1097.79010497256,-0.0151454240849489
0.0470235117558779,23.5853518639714,1103.83371460839,1095.79207967234,1103.80685186538,-0.0268627430068591
0.048024012006003,24.0871560872858,1109.55758993769,1107.01892420741,1109.55770862007,0.000118682380616519
0.0490245122561281,24.5889595681569,1115.00617607565,1117.92101357358,1115.02942653603,0.0232504603841335
0.0500250125062531,25.0907622912385,1120.18266436283,1128.51674673408,1120.18217690395,-0.000487458879888436
0.0510255127563782,25.5925642411916,1125.12787570768,1138.82582551617,1125.13172535555,0.00384964786962882
0.0520260130065033,26.0943654026851,1129.82176857639,1148.85683346051,1129.83755067741,0.0157821010213866
0.0530265132566283,26.5961657603955,1134.27475371705,1158.63281129855,1134.28058213841,0.00582842136464023
0.0540270135067534,27.0979652990074,1138.51308993912,1168.10408064276,1138.52263344331,0.00954350418464855
0.0550275137568784,27.5997640032133,1142.53567218897,1177.32350205529,1142.50140927854,-0.0342629104284242
0.0560280140070035,28.1015618577141,1146.36634588742,1186.31187978128,1146.33634068515,-0.030005202265329
