Time_s,TrueFriction,EstimatedFriction,RelativeErrorPercent
0,0,0.1,0
0.1,0.12,0.101866207017123,15.1114941523972
0.2,0.12,0.103156537052592,14.0362191228403
0.3,0.12,0.103132621014689,14.0561491544261
0.4,0.12,0.104178760835147,13.1843659707111
0.5,0.12,0.105137630870178,12.3853076081851
0.6,0.12,0.106032139778406,11.639883517995
0.7,0.12,0.106547554649185,11.2103711256793
0.8,0.12,0.1066010890365,11.1657591362497
0.9,0.12,0.107372095783349,10.523253513876
1,0.12,0.107718225288803,10.2348122593312
1.1,0.12,0.108832824093678,9.30597992193503
1.2,0.12,0.109973507212857,8.3554106559527
1.3,0.12,0.110227138031221,8.14405164064886
1.4,0.12,0.111133160538522,7.38903288456471
1.5,0.12,0.112302939547187,6.41421704401117
1.6,0.12,0.112916905517693,5.90257873525604
1.7,0.12,0.112815992198089,5.98667316825937
1.8,0.12,0.114104065439049,4.91327880079235
1.9,0.12,0.114210060992614,4.82494917282165
2,0.12,0.112894868204488,5.9209431629266
2.1,0.12,0.11306409660772,5.77991949356697
2.2,0.12,0.113720540382103,5.23288301491447
2.3,0.12,0.115073136351418,4.10571970715185
2.4,0.12,0.115387372467568,3.8438562770264
2.5,0.12,0.114986181209452,4.17818232545661
2.6,0.12,0.115229259757374,3.97561686885496
2.7,0.12,0.115514970591426,3.73752450714458
2.8,0.12,0.115412590542462,3.82284121461503
2.9,0.12,0.116785018010022,2.67915165831526
3,0.12,0.116456312924555,2.95307256287045
3.1,0.12,0.11617147028157,3.19044143202489
3.2,0.12,0.115924711876175,3.39607343652099
3.3,0.12,0.115711571682422,3.5736902646484
3.4,0.12,0.115530053416136,3.72495548655316
3.5,0.12,0.115376529884133,3.85289176322242
3.6,0.12,0.11524774736042,3.96021053298327
3.7,0.12,0.115140763308863,4.04936390928106
3.8,0.12,0.115053450474316,4.12212460473664
3.9,0.12,0.11498459055056,4.17950787453357
4,0.12,0.11493186111427,4.22344907144176
4.1,0.12,0.11489379087617,4.25517426985806
4.2,0.12,0.11486772576128,4.27689519893341
4.3,0.12,0.114851120933048,4.29073255579329
4.4,0.12,0.114843052984397,4.29745584633543
4.5,0.12,0.114841571587256,4.29869034395341
4.6,0.12,0.114844395313372,4.29633723885706
4.7,0.12,0.114850290336174,4.29142471985486
4.8,0.12,0.114859281104733,4.2839324127221
4.9,0.12,0.114869081027641,4.27576581029919
