Time_s,LightIntensity,AvgViolationRate,MaxViolationRate
0,1,0,0
0.5,1,4.12809464301642,4.12809464301642
1,1,0,0
1.5,1,0.269453529557079,0.269453529557079
2,1,0,0
2.5,1,6.56290618910353,6.56290618910353
3,1,1.28133012138603,1.28133012138603
3.5,1,0,0
4,1,1.52667036674978,1.52667036674978
4.5,1,0,0
5,1,0,0
5.5,1,0,0
6,1,0.435662183097267,0.435662183097267
6.5,1,5.22804569214744,5.22804569214744
7,1,7.0283895803714,7.0283895803714
7.5,1,0,0
8,1,0,0
8.5,1,0,0
9,1,0.726061371149549,0.726061371149549
9.5,1,0,4.25342536404085
10,1,5.73285705737357,5.73285705737357
10.5,1,0,0
11,1,3.78576181661943,3.78576181661943
11.5,1,0.519594793361748,0.519594793361748
12,1,0,0
12.5,1,0,0
13,1,0,0
13.5,1,0,0
14,1,2.96363789104763,2.96363789104763
14.5,1,4.70468103596828,4.70468103596828
15,1,0,0
15.5,1,0,0
16,1,0,0
16.5,1,0,0
17,1,0,0
17.5,1,0,0
18,1,1.78798056994952,1.78798056994952
18.5,1,6.28706234405536,6.28706234405536
19,1,0,0
19.5,1,0.0397384592751324,5.8548768591477
20,1,0,0
20.5,1,5.09539625056742,5.09539625056742
21,1,7.88847140135253,7.88847140135253
21.5,1,0,0
22,1,0,0
22.5,1,0,0
23,1,5.24842969242185,5.24842969242185
23.5,1,0.223309727792947,0.223309727792947
24,1,8.38110494446093,8.38110494446093
24.5,1,0.323771090335198,0.323771090335198
25,1,0,0
25.5,1,0,0
26,1,0,0
26.5,1,0,0
27,1,0,0
27.5,1,0,0
28,1,2.22904280146645,2.22904280146645
28.5,1,0,0
29,1,0,0
29.5,1,3.49802831128041,16.1522900128628
30,0.98,0.566208256987609,0.566208256987609
30.5,0.9604,2.68646482820388,2.68646482820388
31,0.941192,2.87260900098227,2.87260900098227
31.5,0.92236816,9.49475569128934,9.49475569128934
32,0.9039207968,0,0
32.5,0.885842380864,10.3239910007492,10.3239910007492
33,0.86812553324672,0,0
33.5,0.850763022581785,2.45920574504264,2.45920574504264
34,0.83374776213015,0.259417336700284,0.259417336700284
34.5,0.817072806887547,0,0
35,0.800731350749796,7.50057323774643,7.50057323774643
35.5,0.7847167237348,2.03225864164019,2.03225864164019
36,0.769022389260104,0,0
36.5,0.753641941474902,0.550305797067382,0.550305797067382
37,0.738569102645404,2.78051440778989,2.78051440778989
37.5,0.723797720592496,1.97286182907092,1.97286182907092
38,0.709321766180646,8.54624432092633,8.54624432092633
38.5,0.695135330857033,2.37701661654353,2.37701661654353
39,0.681232624239892,9.55614190784679,9.55614190784679
39.5,0.667607971755094,5.30077801412512,19.1495055638661
40,0.654255812319992,0,0
40.5,0.641170696073592,3.49141972251537,3.49141972251537
41,0.628347282152121,3.89943319870254,3.89943319870254
41.5,0.615780336509078,1.50416409313853,1.50416409313853
42,0.603464729778897,4.19303221910357,4.19303221910357
42.5,0.591395435183319,3.8845244406266,3.8845244406266
43,0.579567526479652,9.89945805008033,9.89945805008033
43.5,0.567976175950059,9.36124629275342,9.36124629275342
44,0.556616652431058,2.08582735000593,2.08582735000593
44.5,0.545484319382437,0.625020651746101,0.625020651746101
45,0.534574632994788,1.90957025210515,1.90957025210515
45.5,0.523883140334892,6.87117253290512,6.87117253290512
46,0.513405477528195,6.70694123201922,6.70694123201922
46.5,0.503137367977631,2.80279151717511,2.80279151717511
47,0.493074620618078,0,0
47.5,0.483213128205716,0,0
48,0.473548865641602,9.49842354405882,9.49842354405882
48.5,0.46407788832877,10.643757892019,10.643757892019
49,0.454796330562195,0.680238840775008,0.680238840775008
49.5,0.445700403950951,0,1.69367748012801
50,0.436786395871932,9.16353838107348,9.16353838107348
50.5,0.428050667954493,14.5489456784968,14.5489456784968
51,0.419489654595403,12.9591619235515,12.9591619235515
51.5,0.411099861503495,12.9688010939148,12.9688010939148
52,0.402877864273425,13.0808385608045,13.0808385608045
52.5,0.394820306987957,8.55050382852347,8.55050382852347
53,0.386923900848198,7.72375490746884,7.72375490746884
53.5,0.379185422831234,11.9518756843107,11.9518756843107
54,0.371601714374609,2.99744904659636,2.99744904659636
54.5,0.364169680087117,12.3089109740307,12.3089109740307
55,0.356886286485374,3.52549086790247,3.52549086790247
55.5,0.349748560755667,0,0
56,0.342753589540554,9.39932263239093,9.39932263239093
56.5,0.335898517749742,18.8900425980356,18.8900425980356
57,0.329180547394748,9.99791683962915,9.99791683962915
57.5,0.322596936446853,16.6298649287161,16.6298649287161
58,0.316144997717916,8.91187878289536,8.91187878289536
58.5,0.309822097763557,11.791753546021,11.791753546021
59,0.303625655808286,14.2748979386826,14.2748979386826
59.5,0.29755314269212,6.3870478233785,15.130595802329
60,0.291602079838278,8.28158546716354,8.28158546716354
60.5,0.285770038241512,13.9148261973391,13.9148261973391
61,0.280054637476682,21.1728867186969,21.1728867186969
61.5,0.274453544727149,3.40018504904256,3.40018504904256
62,0.268964473832606,11.9436638593765,11.9436638593765
62.5,0.263585184355953,17.2866772261884,17.2866772261884
63,0.258313480668834,4.89132862008323,4.89132862008323
63.5,0.253147211055458,17.8498220673001,17.8498220673001
64,0.248084266834349,8.28719258557624,8.28719258557624
64.5,0.243122581497662,13.5790491902555,13.5790491902555
65,0.238260129867708,9.88453536604882,9.88453536604882
65.5,0.233494927270354,11.8315007889804,11.8315007889804
66,0.228825028724947,8.66933214882631,8.66933214882631
66.5,0.224248528150448,8.56637376863036,8.56637376863036
67,0.219763557587439,1.9403825743829,1.9403825743829
67.5,0.21536828643569,1.21736617600096,1.21736617600096
68,0.211060920706977,2.47171041487451,2.47171041487451
68.5,0.206839702292837,10.0503210444591,10.0503210444591
69,0.20270290824698,5.37535857634689,5.37535857634689
69.5,0.198648850082041,8.63501601476505,8.82869979270552
70,0.1946758730804,5.4877800716986,5.4877800716986
70.5,0.190782355618792,6.20229224928965,6.20229224928965
71,0.186966708506416,12.1696560128918,12.1696560128918
71.5,0.183227374336288,7.28039590545532,7.28039590545532
72,0.179562826849562,10.5147040857257,10.5147040857257
72.5,0.175971570312571,7.2992203869021,7.2992203869021
73,0.172452138906319,4.56226892806477,4.56226892806477
73.5,0.169003096128193,9.10040491239486,9.10040491239486
74,0.165623034205629,5.81685657554016,5.81685657554016
74.5,0.162310573521516,8.41063219287612,8.41063219287612
75,0.159064362051086,5.47814404038298,5.47814404038298
75.5,0.155883074810064,4.87736581837801,4.87736581837801
76,0.152765413313863,1.94411711268486,1.94411711268486
76.5,0.149710105047586,3.03172216098878,3.03172216098878
77,0.146715902946634,3.26617681953709,3.26617681953709
77.5,0.143781584887701,5.6214986021202,5.6214986021202
78,0.140905953189947,7.31065067421958,7.31065067421958
78.5,0.138087834126148,5.25426978669997,5.25426978669997
79,0.135326077443626,6.98486892449502,6.98486892449502
79.5,0.132619555894753,5.0793293310307,10.1139157955151
80,0.129967164776858,4.90072853707693,4.90072853707693
80.5,0.127367821481321,2.50670465678175,2.50670465678175
81,0.124820465051694,3.86907863717916,3.86907863717916
81.5,0.12232405575066,7.08170630901288,7.08170630901288
82,0.119877574635647,3.03848455458641,3.03848455458641
82.5,0.117480023142934,7.82700101731455,7.82700101731455
83,0.115130422680076,3.71684710922496,3.71684710922496
83.5,0.112827814226474,2.14103249312576,2.14103249312576
84,0.110571257941945,6.26022961646381,6.26022961646381
84.5,0.108359832783106,2.93163359691048,2.93163359691048
85,0.106192636127444,2.31257724605206,2.31257724605206
85.5,0.104068783404895,2.67778680092634,2.67778680092634
86,0.101987407736797,4.48884139504641,4.48884139504641
86.5,0.0999476595820609,4.34374949215052,4.34374949215052
87,0.0979487063904197,3.23991940476065,3.23991940476065
87.5,0.0959897322626113,1.84404711143239,1.84404711143239
88,0.0940699376173591,3.92960518882788,3.92960518882788
88.5,0.0921885388650119,4.10241531575928,4.10241531575928
89,0.0903447680877117,3.00050096706389,3.00050096706389
89.5,0.0885378727259574,3.55873670188447,4.85691949033789
90,0.0867671152714383,3.50081195862249,3.50081195862249
90.5,0.0850317729660095,0.760646420410482,0.760646420410482
91,0.0833311375066893,3.03979543927356,3.03979543927356
91.5,0.0816645147565555,3.48779643198616,3.48779643198616
92,0.0800312244614244,3.25248352530805,3.25248352530805
92.5,0.0784305999721959,2.18829975289782,2.18829975289782
93,0.076861987972752,3.07153654579041,3.07153654579041
93.5,0.075324748213297,2.8954909774286,2.8954909774286
94,0.073818253249031,1.57015917973154,1.57015917973154
94.5,0.0723418881840504,2.40053553146291,2.40053553146291
95,0.0708950504203694,3.62584921510166,3.62584921510166
95.5,0.069477149411962,3.77941574577299,3.77941574577299
96,0.0680876064237228,1.25265062096443,1.25265062096443
96.5,0.0667258542952483,3.79054860339394,3.79054860339394
97,0.0653913372093433,2.63029178748717,2.63029178748717
97.5,0.0640835104651565,2.25280297707843,2.25280297707843
98,0.0628018402558534,2.06102270930098,2.06102270930098
98.5,0.0615458034507363,2.02452065148413,2.02452065148413
99,0.0603148873817216,2.44380417720792,2.44380417720792
99.5,0.0591085896340871,2.70482404496324,2.95283882626432
100,0.0579264178414054,2.74335917425082,2.74335917425082
100.5,0.0567678894845773,0.990595136851752,0.990595136851752
101,0.0556325316948857,1.96044768778284,1.96044768778284
101.5,0.054519881060988,1.4379625092578,1.4379625092578
102,0.0534294834397682,2.21933299274872,2.21933299274872
102.5,0.0523608937709729,1.99980407093847,1.99980407093847
103,0.0513136758955534,1.64626417783643,1.64626417783643
103.5,0.0502874023776423,0.840512056301152,0.840512056301152
104,0.0492816543300895,1.61496153936995,1.61496153936995
104.5,0.0482960212434877,0.830008893113544,0.830008893113544
105,0.047330100818618,2.11001303637872,2.11001303637872
105.5,0.0463834988022456,1.98746627078399,1.98746627078399
106,0.0454558288262007,1.92540172214578,1.92540172214578
106.5,0.0445467122496767,1.40949817584088,1.40949817584088
107,0.0436557780046831,1.3132222483268,1.3132222483268
107.5,0.0427826624445895,1.3786161516624,1.3786161516624
108,0.0419270091956977,1.25616760852379,1.25616760852379
108.5,0.0410884690117837,1.6595379380435,1.6595379380435
